Order ID,Date,Product ID,Product Name,Category,Quantity Sold,Retail Price (ZAR),Cost Price (ZAR),Revenue (ZAR),COGS (ZAR),Gross Profit (ZAR),Customer Segment,Province
TT-2024-0302,01/01/2024,10,Jabra Evolve2 55,Headphones,2,8499,5100,16998,10200,6798,Student,KwaZulu-Natal
TT-2024-0458,01/01/2024,22,Razer Basilisk V3 X HyperSpeed,Gaming Mice,1,1649,910,1649,910,739,Working Professional,Eastern Cape
TT-2024-0141,02/01/2024,47,Anker PowerCore 26800 PD,Phone Accessories,2,1599,860,3198,1720,1478,Student,Eastern Cape
TT-2024-0377,03/01/2024,40,Bose SoundLink Mini II SE,Speakers,1,3799,2190,3799,2190,1609,Student,Western Cape
TT-2024-0277,04/01/2024,27,Zowie EC2-C,Gaming Mice,2,1699,950,3398,1900,1498,Student,Western Cape
TT-2024-0491,04/01/2024,39,JBL Flip 6,Speakers,1,1799,990,1799,990,809,Working Professional,Eastern Cape
TT-2024-0461,05/01/2024,46,Spigen Rugged Armor Case,Phone Accessories,2,499,240,998,480,518,Working Professional,North West
TT-2024-0468,06/01/2024,15,Ducky One 3 TKL,Keyboards,2,3299,1880,6598,3760,2838,Student,North West
TT-2024-0481,06/01/2024,14,Corsair K95 RGB Platinum XT,Keyboards,2,4999,2900,9998,5800,4198,Working Professional,Northern Cape
TT-2024-0417,07/01/2024,49,OtterBox Defender Series iPhone 15,Phone Accessories,1,999,510,999,510,489,Student,Gauteng
TT-2024-0186,08/01/2024,33,Bose SoundLink Flex,Speakers,2,3499,2000,6998,4000,2998,Working Professional,Mpumalanga
TT-2024-0299,08/01/2024,46,Spigen Rugged Armor Case,Phone Accessories,2,499,240,998,480,518,Working Professional,Gauteng
TT-2024-0309,09/01/2024,1,Sony WH-1000XM5,Headphones,2,5499,3190,10998,6380,4618,Student,Eastern Cape
TT-2024-0364,09/01/2024,4,JBL Tune 770NC,Headphones,2,1899,1010,3798,2020,1778,Student,Western Cape
TT-2024-0427,09/01/2024,5,Sennheiser HD 560S,Headphones,2,3299,1880,6598,3760,2838,Student,Western Cape
TT-2024-0123,11/01/2024,48,Samsung 45W Super Fast Charger,Phone Accessories,1,699,350,699,350,349,Working Professional,Western Cape
TT-2024-0241,11/01/2024,34,Sony SRS-XB33,Speakers,2,2299,1280,4598,2560,2038,Student,Northern Cape
TT-2024-0257,11/01/2024,33,Bose SoundLink Flex,Speakers,2,3499,2000,6998,4000,2998,Student,Western Cape
TT-2024-0035,12/01/2024,22,Razer Basilisk V3 X HyperSpeed,Gaming Mice,1,1649,910,1649,910,739,Student,KwaZulu-Natal
TT-2024-0338,12/01/2024,7,Anker Soundcore Q45,Headphones,1,1199,620,1199,620,579,Working Professional,Limpopo
TT-2024-0161,13/01/2024,35,Bang & Olufsen Beosound A1,Speakers,2,5999,3590,11998,7180,4818,Working Professional,Gauteng
TT-2024-0454,13/01/2024,23,SteelSeries Prime Wireless,Gaming Mice,2,1799,990,3598,1980,1618,Student,Free State
TT-2024-0428,14/01/2024,39,JBL Flip 6,Speakers,1,1799,990,1799,990,809,Working Professional,KwaZulu-Natal
TT-2024-0029,15/01/2024,26,Endgame Gear XM1r,Gaming Mice,2,1299,700,2598,1400,1198,Working Professional,Northern Cape
TT-2024-0070,15/01/2024,29,Razer DeathAdder V3 HyperSpeed,Gaming Mice,1,1399,760,1399,760,639,Student,Gauteng
TT-2024-0395,16/01/2024,20,Akko 3068B Plus Black & Gold,Keyboards,1,1999,1080,1999,1080,919,Working Professional,Gauteng
TT-2024-0019,17/01/2024,25,Glorious Model O Wireless,Gaming Mice,1,1499,820,1499,820,679,Working Professional,Western Cape
TT-2024-0225,18/01/2024,49,OtterBox Defender Series iPhone 15,Phone Accessories,2,999,510,1998,1020,978,Student,KwaZulu-Natal
TT-2024-0028,19/01/2024,21,Logitech G Pro X Superlight 2,Gaming Mice,1,1899,1070,1899,1070,829,Student,KwaZulu-Natal
TT-2024-0057,19/01/2024,17,Anne Pro 2,Keyboards,2,2199,1200,4398,2400,1998,Working Professional,Eastern Cape
TT-2024-0045,20/01/2024,40,Bose SoundLink Mini II SE,Speakers,2,3799,2190,7598,4380,3218,Student,Western Cape
TT-2024-0343,20/01/2024,29,Razer DeathAdder V3 HyperSpeed,Gaming Mice,2,1399,760,2798,1520,1278,Student,Gauteng
TT-2024-0247,21/01/2024,24,Corsair Dark Core RGB Pro SE,Gaming Mice,1,1999,1110,1999,1110,889,Student,Gauteng
TT-2024-0061,23/01/2024,18,Royal Kludge RK84,Keyboards,2,1499,790,2998,1580,1418,Working Professional,KwaZulu-Natal
TT-2024-0245,23/01/2024,44,Casetify Impact Case iPhone 15 Pro,Phone Accessories,2,799,400,1598,800,798,Student,KwaZulu-Natal
TT-2024-0272,23/01/2024,25,Glorious Model O Wireless,Gaming Mice,1,1499,820,1499,820,679,Student,Western Cape
